group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,21778141.0,ns,2
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,45290333.0,ns,4
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,66394159.0,ns,6
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,84194277.0,ns,8
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,107588744.0,ns,10
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,134454852.0,ns,12
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,155120717.0,ns,14
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,178360886.0,ns,16
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,200963060.0,ns,18
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),10,,,239654999.0,ns,20
