group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,24117165.0,ns,8
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,39158517.0,ns,16
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,54737939.0,ns,24
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,68358490.0,ns,32
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,76645378.0,ns,40
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,90731644.0,ns,48
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,109527654.0,ns,56
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,121469713.0,ns,64
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,138678500.0,ns,72
naive_vs_support_vs_simplifiedsupport_ideal,Support Ideal (Ideal order),8,,,149956704.0,ns,80
