group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,78722637.0,ns,1
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,142202852.0,ns,2
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,231018052.0,ns,3
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,277820282.0,ns,4
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,338140321.0,ns,5
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,480553742.0,ns,6
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,529801228.0,ns,7
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,558189755.0,ns,8
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,625575482.0,ns,9
no_attr_vs_comp,Complement Attr (Degenerate order),10,,,668552316.0,ns,10
