group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Complement Attr (Ideal order),3,,,961156.0,ns,144
no_attr_vs_comp,Complement Attr (Ideal order),3,,,1977640.0,ns,288
no_attr_vs_comp,Complement Attr (Ideal order),3,,,3288180.0,ns,432
no_attr_vs_comp,Complement Attr (Ideal order),3,,,3889793.0,ns,576
no_attr_vs_comp,Complement Attr (Ideal order),3,,,4974814.0,ns,720
no_attr_vs_comp,Complement Attr (Ideal order),3,,,5784740.0,ns,864
no_attr_vs_comp,Complement Attr (Ideal order),3,,,6872516.0,ns,1008
no_attr_vs_comp,Complement Attr (Ideal order),3,,,8017942.0,ns,1152
no_attr_vs_comp,Complement Attr (Ideal order),3,,,8698022.0,ns,1296
no_attr_vs_comp,Complement Attr (Ideal order),3,,,9854046.0,ns,1440
no_attr_vs_comp,Complement Attr (Ideal order),3,,,10438248.0,ns,1584
no_attr_vs_comp,Complement Attr (Ideal order),3,,,11643527.0,ns,1728
no_attr_vs_comp,Complement Attr (Ideal order),3,,,12424185.0,ns,1872
no_attr_vs_comp,Complement Attr (Ideal order),3,,,13336337.0,ns,2016
no_attr_vs_comp,Complement Attr (Ideal order),3,,,13887093.0,ns,2160
no_attr_vs_comp,Complement Attr (Ideal order),3,,,15600322.0,ns,2304
no_attr_vs_comp,Complement Attr (Ideal order),3,,,18523383.0,ns,2448
no_attr_vs_comp,Complement Attr (Ideal order),3,,,17610602.0,ns,2592
no_attr_vs_comp,Complement Attr (Ideal order),3,,,22954266.0,ns,2736
no_attr_vs_comp,Complement Attr (Ideal order),3,,,18967253.0,ns,2880
no_attr_vs_comp,Complement Attr (Ideal order),3,,,20623844.0,ns,3024
no_attr_vs_comp,Complement Attr (Ideal order),3,,,22010152.0,ns,3168
no_attr_vs_comp,Complement Attr (Ideal order),3,,,22268787.0,ns,3312
no_attr_vs_comp,Complement Attr (Ideal order),3,,,22720482.0,ns,3456
no_attr_vs_comp,Complement Attr (Ideal order),3,,,23601297.0,ns,3600
no_attr_vs_comp,Complement Attr (Ideal order),3,,,25842976.0,ns,3744
no_attr_vs_comp,Complement Attr (Ideal order),3,,,25790627.0,ns,3888
no_attr_vs_comp,Complement Attr (Ideal order),3,,,26871936.0,ns,4032
no_attr_vs_comp,Complement Attr (Ideal order),3,,,27800827.0,ns,4176
no_attr_vs_comp,Complement Attr (Ideal order),3,,,29047864.0,ns,4320
no_attr_vs_comp,Complement Attr (Ideal order),3,,,29655915.0,ns,4464
no_attr_vs_comp,Complement Attr (Ideal order),3,,,30476467.0,ns,4608
no_attr_vs_comp,Complement Attr (Ideal order),3,,,32394712.0,ns,4752
no_attr_vs_comp,Complement Attr (Ideal order),3,,,32588859.0,ns,4896
no_attr_vs_comp,Complement Attr (Ideal order),3,,,33679838.0,ns,5040
no_attr_vs_comp,Complement Attr (Ideal order),3,,,34808543.0,ns,5184
no_attr_vs_comp,Complement Attr (Ideal order),3,,,37136525.0,ns,5328
no_attr_vs_comp,Complement Attr (Ideal order),3,,,37476595.0,ns,5472
no_attr_vs_comp,Complement Attr (Ideal order),3,,,37106599.0,ns,5616
no_attr_vs_comp,Complement Attr (Ideal order),3,,,38808079.0,ns,5760
no_attr_vs_comp,Complement Attr (Ideal order),3,,,39349313.0,ns,5904
no_attr_vs_comp,Complement Attr (Ideal order),3,,,39930773.0,ns,6048
no_attr_vs_comp,Complement Attr (Ideal order),3,,,39649734.0,ns,6192
no_attr_vs_comp,Complement Attr (Ideal order),3,,,44202380.0,ns,6336
no_attr_vs_comp,Complement Attr (Ideal order),3,,,43671922.0,ns,6480
no_attr_vs_comp,Complement Attr (Ideal order),3,,,43553940.0,ns,6624
no_attr_vs_comp,Complement Attr (Ideal order),3,,,43427038.0,ns,6768
no_attr_vs_comp,Complement Attr (Ideal order),3,,,47586810.0,ns,6912
no_attr_vs_comp,Complement Attr (Ideal order),3,,,47957669.0,ns,7056
no_attr_vs_comp,Complement Attr (Ideal order),3,,,48212437.0,ns,7200
no_attr_vs_comp,Complement Attr (Ideal order),3,,,48823065.0,ns,7344
no_attr_vs_comp,Complement Attr (Ideal order),3,,,50692279.0,ns,7488
no_attr_vs_comp,Complement Attr (Ideal order),3,,,50575654.0,ns,7632
no_attr_vs_comp,Complement Attr (Ideal order),3,,,51037195.0,ns,7776
no_attr_vs_comp,Complement Attr (Ideal order),3,,,51796603.0,ns,7920
no_attr_vs_comp,Complement Attr (Ideal order),3,,,52353816.0,ns,8064
no_attr_vs_comp,Complement Attr (Ideal order),3,,,54764345.0,ns,8208
no_attr_vs_comp,Complement Attr (Ideal order),3,,,56096971.0,ns,8352
no_attr_vs_comp,Complement Attr (Ideal order),3,,,57345973.0,ns,8496
no_attr_vs_comp,Complement Attr (Ideal order),3,,,55411368.0,ns,8640
no_attr_vs_comp,Complement Attr (Ideal order),3,,,56669567.0,ns,8784
no_attr_vs_comp,Complement Attr (Ideal order),3,,,62852527.0,ns,8928
no_attr_vs_comp,Complement Attr (Ideal order),3,,,64723489.0,ns,9072
no_attr_vs_comp,Complement Attr (Ideal order),3,,,63041681.0,ns,9216
no_attr_vs_comp,Complement Attr (Ideal order),3,,,62393183.0,ns,9360
no_attr_vs_comp,Complement Attr (Ideal order),3,,,61923690.0,ns,9504
no_attr_vs_comp,Complement Attr (Ideal order),3,,,64806447.0,ns,9648
no_attr_vs_comp,Complement Attr (Ideal order),3,,,69472267.0,ns,9792
no_attr_vs_comp,Complement Attr (Ideal order),3,,,65834275.0,ns,9936
no_attr_vs_comp,Complement Attr (Ideal order),3,,,67494290.0,ns,10080
no_attr_vs_comp,Complement Attr (Ideal order),3,,,67644501.0,ns,10224
no_attr_vs_comp,Complement Attr (Ideal order),3,,,69210978.0,ns,10368
no_attr_vs_comp,Complement Attr (Ideal order),3,,,75859833.0,ns,10512
no_attr_vs_comp,Complement Attr (Ideal order),3,,,71065310.0,ns,10656
no_attr_vs_comp,Complement Attr (Ideal order),3,,,72256758.0,ns,10800
no_attr_vs_comp,Complement Attr (Ideal order),3,,,72383677.0,ns,10944
no_attr_vs_comp,Complement Attr (Ideal order),3,,,71664672.0,ns,11088
no_attr_vs_comp,Complement Attr (Ideal order),3,,,76354389.0,ns,11232
no_attr_vs_comp,Complement Attr (Ideal order),3,,,78152637.0,ns,11376
no_attr_vs_comp,Complement Attr (Ideal order),3,,,82843297.0,ns,11520
no_attr_vs_comp,Complement Attr (Ideal order),3,,,77583493.0,ns,11664
no_attr_vs_comp,Complement Attr (Ideal order),3,,,77910858.0,ns,11808
no_attr_vs_comp,Complement Attr (Ideal order),3,,,77857511.0,ns,11952
no_attr_vs_comp,Complement Attr (Ideal order),3,,,78077365.0,ns,12096
no_attr_vs_comp,Complement Attr (Ideal order),3,,,79270685.0,ns,12240
no_attr_vs_comp,Complement Attr (Ideal order),3,,,82705999.0,ns,12384
no_attr_vs_comp,Complement Attr (Ideal order),3,,,88805966.0,ns,12528
no_attr_vs_comp,Complement Attr (Ideal order),3,,,84954233.0,ns,12672
no_attr_vs_comp,Complement Attr (Ideal order),3,,,83855675.0,ns,12816
no_attr_vs_comp,Complement Attr (Ideal order),3,,,84593179.0,ns,12960
no_attr_vs_comp,Complement Attr (Ideal order),3,,,84736088.0,ns,13104
no_attr_vs_comp,Complement Attr (Ideal order),3,,,84144712.0,ns,13248
no_attr_vs_comp,Complement Attr (Ideal order),3,,,89289838.0,ns,13392
no_attr_vs_comp,Complement Attr (Ideal order),3,,,89432610.0,ns,13536
no_attr_vs_comp,Complement Attr (Ideal order),3,,,93893965.0,ns,13680
no_attr_vs_comp,Complement Attr (Ideal order),3,,,91891339.0,ns,13824
no_attr_vs_comp,Complement Attr (Ideal order),3,,,94102586.0,ns,13968
no_attr_vs_comp,Complement Attr (Ideal order),3,,,97818436.0,ns,14112
no_attr_vs_comp,Complement Attr (Ideal order),3,,,94463359.0,ns,14256
no_attr_vs_comp,Complement Attr (Ideal order),3,,,95223599.0,ns,14400
