group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Degenerate order (Comp),2,,,1490757.0,ns,275
no_attr_vs_comp,Degenerate order (Comp),2,,,3112341.0,ns,550
no_attr_vs_comp,Degenerate order (Comp),2,,,2861706.0,ns,825
no_attr_vs_comp,Degenerate order (Comp),2,,,3867495.0,ns,1100
no_attr_vs_comp,Degenerate order (Comp),2,,,4518576.0,ns,1375
no_attr_vs_comp,Degenerate order (Comp),2,,,5801504.0,ns,1650
no_attr_vs_comp,Degenerate order (Comp),2,,,6355941.0,ns,1925
no_attr_vs_comp,Degenerate order (Comp),2,,,7276192.0,ns,2200
no_attr_vs_comp,Degenerate order (Comp),2,,,9058228.0,ns,2475
no_attr_vs_comp,Degenerate order (Comp),2,,,9661068.0,ns,2750
no_attr_vs_comp,Degenerate order (Comp),2,,,11027662.0,ns,3025
no_attr_vs_comp,Degenerate order (Comp),2,,,11449724.0,ns,3300
no_attr_vs_comp,Degenerate order (Comp),2,,,12058818.0,ns,3575
no_attr_vs_comp,Degenerate order (Comp),2,,,12826747.0,ns,3850
no_attr_vs_comp,Degenerate order (Comp),2,,,13618939.0,ns,4125
no_attr_vs_comp,Degenerate order (Comp),2,,,14523944.0,ns,4400
no_attr_vs_comp,Degenerate order (Comp),2,,,15381469.0,ns,4675
no_attr_vs_comp,Degenerate order (Comp),2,,,16374838.0,ns,4950
no_attr_vs_comp,Degenerate order (Comp),2,,,17101288.0,ns,5225
no_attr_vs_comp,Degenerate order (Comp),2,,,18248773.0,ns,5500
no_attr_vs_comp,Degenerate order (Comp),2,,,18987651.0,ns,5775
no_attr_vs_comp,Degenerate order (Comp),2,,,20047448.0,ns,6050
no_attr_vs_comp,Degenerate order (Comp),2,,,20673669.0,ns,6325
no_attr_vs_comp,Degenerate order (Comp),2,,,22169791.0,ns,6600
no_attr_vs_comp,Degenerate order (Comp),2,,,22838502.0,ns,6875
no_attr_vs_comp,Degenerate order (Comp),2,,,23366219.0,ns,7150
no_attr_vs_comp,Degenerate order (Comp),2,,,24612499.0,ns,7425
no_attr_vs_comp,Degenerate order (Comp),2,,,25482483.0,ns,7700
no_attr_vs_comp,Degenerate order (Comp),2,,,26413883.0,ns,7975
no_attr_vs_comp,Degenerate order (Comp),2,,,27391776.0,ns,8250
no_attr_vs_comp,Degenerate order (Comp),2,,,27697229.0,ns,8525
no_attr_vs_comp,Degenerate order (Comp),2,,,28903075.0,ns,8800
no_attr_vs_comp,Degenerate order (Comp),2,,,30272216.0,ns,9075
no_attr_vs_comp,Degenerate order (Comp),2,,,34325830.0,ns,9350
no_attr_vs_comp,Degenerate order (Comp),2,,,33907284.0,ns,9625
no_attr_vs_comp,Degenerate order (Comp),2,,,32490523.0,ns,9900
no_attr_vs_comp,Degenerate order (Comp),2,,,34080696.0,ns,10175
no_attr_vs_comp,Degenerate order (Comp),2,,,34510754.0,ns,10450
no_attr_vs_comp,Degenerate order (Comp),2,,,35523046.0,ns,10725
no_attr_vs_comp,Degenerate order (Comp),2,,,36473241.0,ns,11000
no_attr_vs_comp,Degenerate order (Comp),2,,,36975603.0,ns,11275
no_attr_vs_comp,Degenerate order (Comp),2,,,38023118.0,ns,11550
no_attr_vs_comp,Degenerate order (Comp),2,,,39429800.0,ns,11825
no_attr_vs_comp,Degenerate order (Comp),2,,,39703269.0,ns,12100
no_attr_vs_comp,Degenerate order (Comp),2,,,41511802.0,ns,12375
no_attr_vs_comp,Degenerate order (Comp),2,,,42223482.0,ns,12650
no_attr_vs_comp,Degenerate order (Comp),2,,,42918990.0,ns,12925
no_attr_vs_comp,Degenerate order (Comp),2,,,43394705.0,ns,13200
no_attr_vs_comp,Degenerate order (Comp),2,,,46624440.0,ns,13475
no_attr_vs_comp,Degenerate order (Comp),2,,,45746989.0,ns,13750
no_attr_vs_comp,Degenerate order (Comp),2,,,46435510.0,ns,14025
no_attr_vs_comp,Degenerate order (Comp),2,,,47860940.0,ns,14300
no_attr_vs_comp,Degenerate order (Comp),2,,,49946862.0,ns,14575
no_attr_vs_comp,Degenerate order (Comp),2,,,51283973.0,ns,14850
no_attr_vs_comp,Degenerate order (Comp),2,,,51382741.0,ns,15125
no_attr_vs_comp,Degenerate order (Comp),2,,,51319891.0,ns,15400
no_attr_vs_comp,Degenerate order (Comp),2,,,51434286.0,ns,15675
no_attr_vs_comp,Degenerate order (Comp),2,,,53083960.0,ns,15950
no_attr_vs_comp,Degenerate order (Comp),2,,,54351735.0,ns,16225
no_attr_vs_comp,Degenerate order (Comp),2,,,54783988.0,ns,16500
no_attr_vs_comp,Degenerate order (Comp),2,,,55522635.0,ns,16775
no_attr_vs_comp,Degenerate order (Comp),2,,,56198325.0,ns,17050
no_attr_vs_comp,Degenerate order (Comp),2,,,62016787.0,ns,17325
no_attr_vs_comp,Degenerate order (Comp),2,,,60790601.0,ns,17600
no_attr_vs_comp,Degenerate order (Comp),2,,,61053458.0,ns,17875
no_attr_vs_comp,Degenerate order (Comp),2,,,61691543.0,ns,18150
no_attr_vs_comp,Degenerate order (Comp),2,,,63069264.0,ns,18425
no_attr_vs_comp,Degenerate order (Comp),2,,,64959180.0,ns,18700
no_attr_vs_comp,Degenerate order (Comp),2,,,67781160.0,ns,18975
no_attr_vs_comp,Degenerate order (Comp),2,,,65508338.0,ns,19250
no_attr_vs_comp,Degenerate order (Comp),2,,,69498351.0,ns,19525
no_attr_vs_comp,Degenerate order (Comp),2,,,69641846.0,ns,19800
no_attr_vs_comp,Degenerate order (Comp),2,,,104790245.0,ns,20075
no_attr_vs_comp,Degenerate order (Comp),2,,,94697529.0,ns,20350
no_attr_vs_comp,Degenerate order (Comp),2,,,80195780.0,ns,20625
no_attr_vs_comp,Degenerate order (Comp),2,,,82631167.0,ns,20900
no_attr_vs_comp,Degenerate order (Comp),2,,,80394233.0,ns,21175
no_attr_vs_comp,Degenerate order (Comp),2,,,75861376.0,ns,21450
no_attr_vs_comp,Degenerate order (Comp),2,,,87228690.0,ns,21725
no_attr_vs_comp,Degenerate order (Comp),2,,,85175370.0,ns,22000
no_attr_vs_comp,Degenerate order (Comp),2,,,75992006.0,ns,22275
no_attr_vs_comp,Degenerate order (Comp),2,,,81039826.0,ns,22550
no_attr_vs_comp,Degenerate order (Comp),2,,,77702987.0,ns,22825
no_attr_vs_comp,Degenerate order (Comp),2,,,76669293.0,ns,23100
no_attr_vs_comp,Degenerate order (Comp),2,,,82646663.0,ns,23375
no_attr_vs_comp,Degenerate order (Comp),2,,,86063165.0,ns,23650
no_attr_vs_comp,Degenerate order (Comp),2,,,80523924.0,ns,23925
no_attr_vs_comp,Degenerate order (Comp),2,,,84488993.0,ns,24200
no_attr_vs_comp,Degenerate order (Comp),2,,,82988111.0,ns,24475
no_attr_vs_comp,Degenerate order (Comp),2,,,81537152.0,ns,24750
no_attr_vs_comp,Degenerate order (Comp),2,,,89480888.0,ns,25025
no_attr_vs_comp,Degenerate order (Comp),2,,,87329657.0,ns,25300
no_attr_vs_comp,Degenerate order (Comp),2,,,84566847.0,ns,25575
no_attr_vs_comp,Degenerate order (Comp),2,,,91881368.0,ns,25850
no_attr_vs_comp,Degenerate order (Comp),2,,,88090042.0,ns,26125
no_attr_vs_comp,Degenerate order (Comp),2,,,89155627.0,ns,26400
no_attr_vs_comp,Degenerate order (Comp),2,,,101713311.0,ns,26675
no_attr_vs_comp,Degenerate order (Comp),2,,,93399824.0,ns,26950
no_attr_vs_comp,Degenerate order (Comp),2,,,92765683.0,ns,27225
no_attr_vs_comp,Degenerate order (Comp),2,,,98205332.0,ns,27500
