group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Degenerate order (Comp),3,,,1424405.0,ns,84
no_attr_vs_comp,Degenerate order (Comp),3,,,2604591.0,ns,168
no_attr_vs_comp,Degenerate order (Comp),3,,,3594262.0,ns,252
no_attr_vs_comp,Degenerate order (Comp),3,,,5594970.0,ns,336
no_attr_vs_comp,Degenerate order (Comp),3,,,5511822.0,ns,420
no_attr_vs_comp,Degenerate order (Comp),3,,,6060866.0,ns,504
no_attr_vs_comp,Degenerate order (Comp),3,,,6958892.0,ns,588
no_attr_vs_comp,Degenerate order (Comp),3,,,9316904.0,ns,672
no_attr_vs_comp,Degenerate order (Comp),3,,,10071107.0,ns,756
no_attr_vs_comp,Degenerate order (Comp),3,,,9331082.0,ns,840
no_attr_vs_comp,Degenerate order (Comp),3,,,10087098.0,ns,924
no_attr_vs_comp,Degenerate order (Comp),3,,,11283142.0,ns,1008
no_attr_vs_comp,Degenerate order (Comp),3,,,11325608.0,ns,1092
no_attr_vs_comp,Degenerate order (Comp),3,,,12292728.0,ns,1176
no_attr_vs_comp,Degenerate order (Comp),3,,,12909992.0,ns,1260
no_attr_vs_comp,Degenerate order (Comp),3,,,14526622.0,ns,1344
no_attr_vs_comp,Degenerate order (Comp),3,,,15666643.0,ns,1428
no_attr_vs_comp,Degenerate order (Comp),3,,,15814712.0,ns,1512
no_attr_vs_comp,Degenerate order (Comp),3,,,16109064.0,ns,1596
no_attr_vs_comp,Degenerate order (Comp),3,,,17030984.0,ns,1680
no_attr_vs_comp,Degenerate order (Comp),3,,,17327652.0,ns,1764
no_attr_vs_comp,Degenerate order (Comp),3,,,18598137.0,ns,1848
no_attr_vs_comp,Degenerate order (Comp),3,,,19529008.0,ns,1932
no_attr_vs_comp,Degenerate order (Comp),3,,,20628854.0,ns,2016
no_attr_vs_comp,Degenerate order (Comp),3,,,21605654.0,ns,2100
no_attr_vs_comp,Degenerate order (Comp),3,,,26746269.0,ns,2184
no_attr_vs_comp,Degenerate order (Comp),3,,,30232632.0,ns,2268
no_attr_vs_comp,Degenerate order (Comp),3,,,26952296.0,ns,2352
no_attr_vs_comp,Degenerate order (Comp),3,,,26618629.0,ns,2436
no_attr_vs_comp,Degenerate order (Comp),3,,,24964909.0,ns,2520
no_attr_vs_comp,Degenerate order (Comp),3,,,27686648.0,ns,2604
no_attr_vs_comp,Degenerate order (Comp),3,,,31059303.0,ns,2688
no_attr_vs_comp,Degenerate order (Comp),3,,,24912799.0,ns,2772
no_attr_vs_comp,Degenerate order (Comp),3,,,27125010.0,ns,2856
no_attr_vs_comp,Degenerate order (Comp),3,,,26213700.0,ns,2940
no_attr_vs_comp,Degenerate order (Comp),3,,,27114399.0,ns,3024
no_attr_vs_comp,Degenerate order (Comp),3,,,31986015.0,ns,3108
no_attr_vs_comp,Degenerate order (Comp),3,,,34049044.0,ns,3192
no_attr_vs_comp,Degenerate order (Comp),3,,,36995187.0,ns,3276
no_attr_vs_comp,Degenerate order (Comp),3,,,29901848.0,ns,3360
no_attr_vs_comp,Degenerate order (Comp),3,,,35542431.0,ns,3444
no_attr_vs_comp,Degenerate order (Comp),3,,,37209776.0,ns,3528
no_attr_vs_comp,Degenerate order (Comp),3,,,34178857.0,ns,3612
no_attr_vs_comp,Degenerate order (Comp),3,,,34304709.0,ns,3696
no_attr_vs_comp,Degenerate order (Comp),3,,,34758556.0,ns,3780
no_attr_vs_comp,Degenerate order (Comp),3,,,38432206.0,ns,3864
no_attr_vs_comp,Degenerate order (Comp),3,,,40000991.0,ns,3948
no_attr_vs_comp,Degenerate order (Comp),3,,,36453474.0,ns,4032
no_attr_vs_comp,Degenerate order (Comp),3,,,35976708.0,ns,4116
no_attr_vs_comp,Degenerate order (Comp),3,,,38179668.0,ns,4200
no_attr_vs_comp,Degenerate order (Comp),3,,,42912644.0,ns,4284
no_attr_vs_comp,Degenerate order (Comp),3,,,41242204.0,ns,4368
no_attr_vs_comp,Degenerate order (Comp),3,,,39038119.0,ns,4452
no_attr_vs_comp,Degenerate order (Comp),3,,,38422405.0,ns,4536
no_attr_vs_comp,Degenerate order (Comp),3,,,40531600.0,ns,4620
no_attr_vs_comp,Degenerate order (Comp),3,,,40952374.0,ns,4704
no_attr_vs_comp,Degenerate order (Comp),3,,,42322492.0,ns,4788
no_attr_vs_comp,Degenerate order (Comp),3,,,42652088.0,ns,4872
no_attr_vs_comp,Degenerate order (Comp),3,,,42301515.0,ns,4956
no_attr_vs_comp,Degenerate order (Comp),3,,,43280919.0,ns,5040
no_attr_vs_comp,Degenerate order (Comp),3,,,44126170.0,ns,5124
no_attr_vs_comp,Degenerate order (Comp),3,,,45807680.0,ns,5208
