group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Degenerate order (No Comp),2,,,960805.0,ns,224
no_attr_vs_comp,Degenerate order (No Comp),2,,,1865515.0,ns,448
no_attr_vs_comp,Degenerate order (No Comp),2,,,3125362.0,ns,672
no_attr_vs_comp,Degenerate order (No Comp),2,,,3685703.0,ns,896
no_attr_vs_comp,Degenerate order (No Comp),2,,,4566761.0,ns,1120
no_attr_vs_comp,Degenerate order (No Comp),2,,,5923888.0,ns,1344
no_attr_vs_comp,Degenerate order (No Comp),2,,,7314587.0,ns,1568
no_attr_vs_comp,Degenerate order (No Comp),2,,,8656583.0,ns,1792
no_attr_vs_comp,Degenerate order (No Comp),2,,,9710946.0,ns,2016
no_attr_vs_comp,Degenerate order (No Comp),2,,,10563382.0,ns,2240
no_attr_vs_comp,Degenerate order (No Comp),2,,,11876518.0,ns,2464
no_attr_vs_comp,Degenerate order (No Comp),2,,,11387594.0,ns,2688
no_attr_vs_comp,Degenerate order (No Comp),2,,,13002953.0,ns,2912
no_attr_vs_comp,Degenerate order (No Comp),2,,,13149659.0,ns,3136
no_attr_vs_comp,Degenerate order (No Comp),2,,,13972828.0,ns,3360
no_attr_vs_comp,Degenerate order (No Comp),2,,,14708979.0,ns,3584
no_attr_vs_comp,Degenerate order (No Comp),2,,,15893601.0,ns,3808
no_attr_vs_comp,Degenerate order (No Comp),2,,,16712351.0,ns,4032
no_attr_vs_comp,Degenerate order (No Comp),2,,,17783221.0,ns,4256
no_attr_vs_comp,Degenerate order (No Comp),2,,,18563078.0,ns,4480
no_attr_vs_comp,Degenerate order (No Comp),2,,,19849415.0,ns,4704
no_attr_vs_comp,Degenerate order (No Comp),2,,,20920293.0,ns,4928
no_attr_vs_comp,Degenerate order (No Comp),2,,,22036493.0,ns,5152
no_attr_vs_comp,Degenerate order (No Comp),2,,,22281793.0,ns,5376
no_attr_vs_comp,Degenerate order (No Comp),2,,,23276612.0,ns,5600
no_attr_vs_comp,Degenerate order (No Comp),2,,,24428593.0,ns,5824
no_attr_vs_comp,Degenerate order (No Comp),2,,,25095834.0,ns,6048
no_attr_vs_comp,Degenerate order (No Comp),2,,,26290208.0,ns,6272
no_attr_vs_comp,Degenerate order (No Comp),2,,,27292658.0,ns,6496
no_attr_vs_comp,Degenerate order (No Comp),2,,,28238533.0,ns,6720
no_attr_vs_comp,Degenerate order (No Comp),2,,,28749355.0,ns,6944
no_attr_vs_comp,Degenerate order (No Comp),2,,,29675699.0,ns,7168
no_attr_vs_comp,Degenerate order (No Comp),2,,,30918970.0,ns,7392
no_attr_vs_comp,Degenerate order (No Comp),2,,,32293556.0,ns,7616
no_attr_vs_comp,Degenerate order (No Comp),2,,,32626328.0,ns,7840
no_attr_vs_comp,Degenerate order (No Comp),2,,,33521896.0,ns,8064
no_attr_vs_comp,Degenerate order (No Comp),2,,,35402355.0,ns,8288
no_attr_vs_comp,Degenerate order (No Comp),2,,,35483002.0,ns,8512
no_attr_vs_comp,Degenerate order (No Comp),2,,,38150098.0,ns,8736
no_attr_vs_comp,Degenerate order (No Comp),2,,,37600835.0,ns,8960
no_attr_vs_comp,Degenerate order (No Comp),2,,,38366627.0,ns,9184
no_attr_vs_comp,Degenerate order (No Comp),2,,,39452743.0,ns,9408
no_attr_vs_comp,Degenerate order (No Comp),2,,,40479500.0,ns,9632
no_attr_vs_comp,Degenerate order (No Comp),2,,,41119114.0,ns,9856
no_attr_vs_comp,Degenerate order (No Comp),2,,,41964030.0,ns,10080
no_attr_vs_comp,Degenerate order (No Comp),2,,,42620902.0,ns,10304
no_attr_vs_comp,Degenerate order (No Comp),2,,,43681449.0,ns,10528
no_attr_vs_comp,Degenerate order (No Comp),2,,,45017736.0,ns,10752
no_attr_vs_comp,Degenerate order (No Comp),2,,,45834356.0,ns,10976
no_attr_vs_comp,Degenerate order (No Comp),2,,,46292599.0,ns,11200
no_attr_vs_comp,Degenerate order (No Comp),2,,,47375488.0,ns,11424
no_attr_vs_comp,Degenerate order (No Comp),2,,,47973283.0,ns,11648
no_attr_vs_comp,Degenerate order (No Comp),2,,,49157377.0,ns,11872
no_attr_vs_comp,Degenerate order (No Comp),2,,,50715087.0,ns,12096
no_attr_vs_comp,Degenerate order (No Comp),2,,,51005847.0,ns,12320
no_attr_vs_comp,Degenerate order (No Comp),2,,,51865296.0,ns,12544
no_attr_vs_comp,Degenerate order (No Comp),2,,,53288882.0,ns,12768
no_attr_vs_comp,Degenerate order (No Comp),2,,,55651993.0,ns,12992
no_attr_vs_comp,Degenerate order (No Comp),2,,,55150188.0,ns,13216
no_attr_vs_comp,Degenerate order (No Comp),2,,,56253944.0,ns,13440
no_attr_vs_comp,Degenerate order (No Comp),2,,,56418206.0,ns,13664
no_attr_vs_comp,Degenerate order (No Comp),2,,,58439954.0,ns,13888
no_attr_vs_comp,Degenerate order (No Comp),2,,,62080037.0,ns,14112
no_attr_vs_comp,Degenerate order (No Comp),2,,,72204186.0,ns,14336
no_attr_vs_comp,Degenerate order (No Comp),2,,,64498630.0,ns,14560
no_attr_vs_comp,Degenerate order (No Comp),2,,,70727181.0,ns,14784
no_attr_vs_comp,Degenerate order (No Comp),2,,,70928664.0,ns,15008
no_attr_vs_comp,Degenerate order (No Comp),2,,,70539947.0,ns,15232
no_attr_vs_comp,Degenerate order (No Comp),2,,,66855496.0,ns,15456
no_attr_vs_comp,Degenerate order (No Comp),2,,,66403966.0,ns,15680
no_attr_vs_comp,Degenerate order (No Comp),2,,,64508768.0,ns,15904
