group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Degenerate order (No Comp),3,,,1018235.0,ns,84
no_attr_vs_comp,Degenerate order (No Comp),3,,,1740465.0,ns,168
no_attr_vs_comp,Degenerate order (No Comp),3,,,3205348.0,ns,252
no_attr_vs_comp,Degenerate order (No Comp),3,,,4712087.0,ns,336
no_attr_vs_comp,Degenerate order (No Comp),3,,,5369347.0,ns,420
no_attr_vs_comp,Degenerate order (No Comp),3,,,6099140.0,ns,504
no_attr_vs_comp,Degenerate order (No Comp),3,,,7617664.0,ns,588
no_attr_vs_comp,Degenerate order (No Comp),3,,,8492653.0,ns,672
no_attr_vs_comp,Degenerate order (No Comp),3,,,9775173.0,ns,756
no_attr_vs_comp,Degenerate order (No Comp),3,,,10664909.0,ns,840
no_attr_vs_comp,Degenerate order (No Comp),3,,,12864784.0,ns,924
no_attr_vs_comp,Degenerate order (No Comp),3,,,13448632.0,ns,1008
no_attr_vs_comp,Degenerate order (No Comp),3,,,12907773.0,ns,1092
no_attr_vs_comp,Degenerate order (No Comp),3,,,14511688.0,ns,1176
no_attr_vs_comp,Degenerate order (No Comp),3,,,14921254.0,ns,1260
no_attr_vs_comp,Degenerate order (No Comp),3,,,16296899.0,ns,1344
no_attr_vs_comp,Degenerate order (No Comp),3,,,16104391.0,ns,1428
no_attr_vs_comp,Degenerate order (No Comp),3,,,16029806.0,ns,1512
no_attr_vs_comp,Degenerate order (No Comp),3,,,18416659.0,ns,1596
no_attr_vs_comp,Degenerate order (No Comp),3,,,18213478.0,ns,1680
no_attr_vs_comp,Degenerate order (No Comp),3,,,18574328.0,ns,1764
no_attr_vs_comp,Degenerate order (No Comp),3,,,22434273.0,ns,1848
no_attr_vs_comp,Degenerate order (No Comp),3,,,24002808.0,ns,1932
no_attr_vs_comp,Degenerate order (No Comp),3,,,23998465.0,ns,2016
no_attr_vs_comp,Degenerate order (No Comp),3,,,23656021.0,ns,2100
no_attr_vs_comp,Degenerate order (No Comp),3,,,22937120.0,ns,2184
no_attr_vs_comp,Degenerate order (No Comp),3,,,24107920.0,ns,2268
no_attr_vs_comp,Degenerate order (No Comp),3,,,24822100.0,ns,2352
no_attr_vs_comp,Degenerate order (No Comp),3,,,25699889.0,ns,2436
no_attr_vs_comp,Degenerate order (No Comp),3,,,26607483.0,ns,2520
no_attr_vs_comp,Degenerate order (No Comp),3,,,27529950.0,ns,2604
no_attr_vs_comp,Degenerate order (No Comp),3,,,29316681.0,ns,2688
