group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Efficient order (Comp),3,,,1666100.0,ns,143
no_attr_vs_comp,Efficient order (Comp),3,,,5388038.0,ns,286
no_attr_vs_comp,Efficient order (Comp),3,,,5070419.0,ns,429
no_attr_vs_comp,Efficient order (Comp),3,,,5576983.0,ns,572
no_attr_vs_comp,Efficient order (Comp),3,,,6405719.0,ns,715
no_attr_vs_comp,Efficient order (Comp),3,,,6211048.0,ns,858
no_attr_vs_comp,Efficient order (Comp),3,,,7805243.0,ns,1001
no_attr_vs_comp,Efficient order (Comp),3,,,11233970.0,ns,1144
no_attr_vs_comp,Efficient order (Comp),3,,,14185949.0,ns,1287
no_attr_vs_comp,Efficient order (Comp),3,,,11998259.0,ns,1430
no_attr_vs_comp,Efficient order (Comp),3,,,12350811.0,ns,1573
no_attr_vs_comp,Efficient order (Comp),3,,,12482707.0,ns,1716
no_attr_vs_comp,Efficient order (Comp),3,,,14677897.0,ns,1859
no_attr_vs_comp,Efficient order (Comp),3,,,15496769.0,ns,2002
no_attr_vs_comp,Efficient order (Comp),3,,,15734576.0,ns,2145
no_attr_vs_comp,Efficient order (Comp),3,,,17117273.0,ns,2288
no_attr_vs_comp,Efficient order (Comp),3,,,17776013.0,ns,2431
no_attr_vs_comp,Efficient order (Comp),3,,,18396488.0,ns,2574
no_attr_vs_comp,Efficient order (Comp),3,,,20019018.0,ns,2717
no_attr_vs_comp,Efficient order (Comp),3,,,23130662.0,ns,2860
no_attr_vs_comp,Efficient order (Comp),3,,,23026001.0,ns,3003
no_attr_vs_comp,Efficient order (Comp),3,,,23276732.0,ns,3146
no_attr_vs_comp,Efficient order (Comp),3,,,24746418.0,ns,3289
no_attr_vs_comp,Efficient order (Comp),3,,,24857382.0,ns,3432
no_attr_vs_comp,Efficient order (Comp),3,,,23867332.0,ns,3575
no_attr_vs_comp,Efficient order (Comp),3,,,26530085.0,ns,3718
no_attr_vs_comp,Efficient order (Comp),3,,,28807586.0,ns,3861
no_attr_vs_comp,Efficient order (Comp),3,,,30220925.0,ns,4004
no_attr_vs_comp,Efficient order (Comp),3,,,31239492.0,ns,4147
no_attr_vs_comp,Efficient order (Comp),3,,,31652229.0,ns,4290
no_attr_vs_comp,Efficient order (Comp),3,,,33802458.0,ns,4433
no_attr_vs_comp,Efficient order (Comp),3,,,32942351.0,ns,4576
no_attr_vs_comp,Efficient order (Comp),3,,,36158737.0,ns,4719
no_attr_vs_comp,Efficient order (Comp),3,,,39843878.0,ns,4862
no_attr_vs_comp,Efficient order (Comp),3,,,35384984.0,ns,5005
no_attr_vs_comp,Efficient order (Comp),3,,,38449035.0,ns,5148
no_attr_vs_comp,Efficient order (Comp),3,,,40037066.0,ns,5291
no_attr_vs_comp,Efficient order (Comp),3,,,40385862.0,ns,5434
no_attr_vs_comp,Efficient order (Comp),3,,,42649393.0,ns,5577
no_attr_vs_comp,Efficient order (Comp),3,,,47841848.0,ns,5720
no_attr_vs_comp,Efficient order (Comp),3,,,46364908.0,ns,5863
no_attr_vs_comp,Efficient order (Comp),3,,,47464485.0,ns,6006
no_attr_vs_comp,Efficient order (Comp),3,,,48366093.0,ns,6149
no_attr_vs_comp,Efficient order (Comp),3,,,48982153.0,ns,6292
