group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Efficient order (Comp),5,,,979770.0,ns,15
no_attr_vs_comp,Efficient order (Comp),5,,,1926811.0,ns,30
no_attr_vs_comp,Efficient order (Comp),5,,,3350387.0,ns,45
no_attr_vs_comp,Efficient order (Comp),5,,,3954860.0,ns,60
no_attr_vs_comp,Efficient order (Comp),5,,,4820132.0,ns,75
no_attr_vs_comp,Efficient order (Comp),5,,,5707704.0,ns,90
no_attr_vs_comp,Efficient order (Comp),5,,,7661086.0,ns,105
no_attr_vs_comp,Efficient order (Comp),5,,,9099690.0,ns,120
no_attr_vs_comp,Efficient order (Comp),5,,,10234311.0,ns,135
no_attr_vs_comp,Efficient order (Comp),5,,,10919854.0,ns,150
no_attr_vs_comp,Efficient order (Comp),5,,,10631591.0,ns,165
no_attr_vs_comp,Efficient order (Comp),5,,,11390436.0,ns,180
no_attr_vs_comp,Efficient order (Comp),5,,,13278967.0,ns,195
no_attr_vs_comp,Efficient order (Comp),5,,,13423180.0,ns,210
no_attr_vs_comp,Efficient order (Comp),5,,,14008938.0,ns,225
no_attr_vs_comp,Efficient order (Comp),5,,,15780167.0,ns,240
no_attr_vs_comp,Efficient order (Comp),5,,,15899212.0,ns,255
no_attr_vs_comp,Efficient order (Comp),5,,,17833584.0,ns,270
no_attr_vs_comp,Efficient order (Comp),5,,,18360176.0,ns,285
no_attr_vs_comp,Efficient order (Comp),5,,,19976994.0,ns,300
no_attr_vs_comp,Efficient order (Comp),5,,,19936744.0,ns,315
no_attr_vs_comp,Efficient order (Comp),5,,,20664098.0,ns,330
no_attr_vs_comp,Efficient order (Comp),5,,,22034292.0,ns,345
no_attr_vs_comp,Efficient order (Comp),5,,,24228531.0,ns,360
no_attr_vs_comp,Efficient order (Comp),5,,,23767074.0,ns,375
no_attr_vs_comp,Efficient order (Comp),5,,,25196472.0,ns,390
no_attr_vs_comp,Efficient order (Comp),5,,,25264981.0,ns,405
no_attr_vs_comp,Efficient order (Comp),5,,,27847464.0,ns,420
no_attr_vs_comp,Efficient order (Comp),5,,,28832309.0,ns,435
no_attr_vs_comp,Efficient order (Comp),5,,,28027088.0,ns,450
no_attr_vs_comp,Efficient order (Comp),5,,,30122102.0,ns,465
no_attr_vs_comp,Efficient order (Comp),5,,,29951266.0,ns,480
no_attr_vs_comp,Efficient order (Comp),5,,,33735807.0,ns,495
no_attr_vs_comp,Efficient order (Comp),5,,,34251953.0,ns,510
no_attr_vs_comp,Efficient order (Comp),5,,,32766874.0,ns,525
no_attr_vs_comp,Efficient order (Comp),5,,,34347091.0,ns,540
no_attr_vs_comp,Efficient order (Comp),5,,,35828232.0,ns,555
no_attr_vs_comp,Efficient order (Comp),5,,,36074704.0,ns,570
no_attr_vs_comp,Efficient order (Comp),5,,,36519101.0,ns,585
no_attr_vs_comp,Efficient order (Comp),5,,,40559319.0,ns,600
no_attr_vs_comp,Efficient order (Comp),5,,,38225953.0,ns,615
no_attr_vs_comp,Efficient order (Comp),5,,,43366270.0,ns,630
no_attr_vs_comp,Efficient order (Comp),5,,,40914446.0,ns,645
no_attr_vs_comp,Efficient order (Comp),5,,,41083602.0,ns,660
no_attr_vs_comp,Efficient order (Comp),5,,,44522598.0,ns,675
no_attr_vs_comp,Efficient order (Comp),5,,,46264412.0,ns,690
no_attr_vs_comp,Efficient order (Comp),5,,,44027861.0,ns,705
no_attr_vs_comp,Efficient order (Comp),5,,,45156974.0,ns,720
no_attr_vs_comp,Efficient order (Comp),5,,,50490835.0,ns,735
no_attr_vs_comp,Efficient order (Comp),5,,,46891291.0,ns,750
no_attr_vs_comp,Efficient order (Comp),5,,,48029622.0,ns,765
no_attr_vs_comp,Efficient order (Comp),5,,,48842910.0,ns,780
no_attr_vs_comp,Efficient order (Comp),5,,,48850502.0,ns,795
no_attr_vs_comp,Efficient order (Comp),5,,,50598252.0,ns,810
no_attr_vs_comp,Efficient order (Comp),5,,,54232146.0,ns,825
no_attr_vs_comp,Efficient order (Comp),5,,,53282472.0,ns,840
no_attr_vs_comp,Efficient order (Comp),5,,,53859796.0,ns,855
no_attr_vs_comp,Efficient order (Comp),5,,,58740616.0,ns,870
no_attr_vs_comp,Efficient order (Comp),5,,,56857386.0,ns,885
no_attr_vs_comp,Efficient order (Comp),5,,,57290681.0,ns,900
no_attr_vs_comp,Efficient order (Comp),5,,,58610069.0,ns,915
no_attr_vs_comp,Efficient order (Comp),5,,,58474641.0,ns,930
no_attr_vs_comp,Efficient order (Comp),5,,,60726922.0,ns,945
no_attr_vs_comp,Efficient order (Comp),5,,,63338835.0,ns,960
no_attr_vs_comp,Efficient order (Comp),5,,,69016140.0,ns,975
no_attr_vs_comp,Efficient order (Comp),5,,,72222172.0,ns,990
no_attr_vs_comp,Efficient order (Comp),5,,,64722596.0,ns,1005
no_attr_vs_comp,Efficient order (Comp),5,,,65391021.0,ns,1020
no_attr_vs_comp,Efficient order (Comp),5,,,68678970.0,ns,1035
no_attr_vs_comp,Efficient order (Comp),5,,,67288539.0,ns,1050
no_attr_vs_comp,Efficient order (Comp),5,,,70874372.0,ns,1065
no_attr_vs_comp,Efficient order (Comp),5,,,72884209.0,ns,1080
no_attr_vs_comp,Efficient order (Comp),5,,,69077471.0,ns,1095
no_attr_vs_comp,Efficient order (Comp),5,,,78921577.0,ns,1110
no_attr_vs_comp,Efficient order (Comp),5,,,79365963.0,ns,1125
no_attr_vs_comp,Efficient order (Comp),5,,,84009889.0,ns,1140
no_attr_vs_comp,Efficient order (Comp),5,,,79570767.0,ns,1155
no_attr_vs_comp,Efficient order (Comp),5,,,76077046.0,ns,1170
no_attr_vs_comp,Efficient order (Comp),5,,,76561390.0,ns,1185
no_attr_vs_comp,Efficient order (Comp),5,,,77003986.0,ns,1200
no_attr_vs_comp,Efficient order (Comp),5,,,77274582.0,ns,1215
no_attr_vs_comp,Efficient order (Comp),5,,,77544520.0,ns,1230
no_attr_vs_comp,Efficient order (Comp),5,,,79779746.0,ns,1245
no_attr_vs_comp,Efficient order (Comp),5,,,78732468.0,ns,1260
no_attr_vs_comp,Efficient order (Comp),5,,,81187430.0,ns,1275
no_attr_vs_comp,Efficient order (Comp),5,,,81258978.0,ns,1290
no_attr_vs_comp,Efficient order (Comp),5,,,82628853.0,ns,1305
no_attr_vs_comp,Efficient order (Comp),5,,,88085637.0,ns,1320
no_attr_vs_comp,Efficient order (Comp),5,,,104572141.0,ns,1335
no_attr_vs_comp,Efficient order (Comp),5,,,93299692.0,ns,1350
no_attr_vs_comp,Efficient order (Comp),5,,,85313458.0,ns,1365
no_attr_vs_comp,Efficient order (Comp),5,,,92487226.0,ns,1380
no_attr_vs_comp,Efficient order (Comp),5,,,85475596.0,ns,1395
no_attr_vs_comp,Efficient order (Comp),5,,,89454244.0,ns,1410
no_attr_vs_comp,Efficient order (Comp),5,,,93492931.0,ns,1425
no_attr_vs_comp,Efficient order (Comp),5,,,96665308.0,ns,1440
no_attr_vs_comp,Efficient order (Comp),5,,,91964165.0,ns,1455
no_attr_vs_comp,Efficient order (Comp),5,,,93356289.0,ns,1470
no_attr_vs_comp,Efficient order (Comp),5,,,116791956.0,ns,1485
no_attr_vs_comp,Efficient order (Comp),5,,,113002338.0,ns,1500
