group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Efficient order (No Comp),3,,,973838.0,ns,102
no_attr_vs_comp,Efficient order (No Comp),3,,,1984953.0,ns,204
no_attr_vs_comp,Efficient order (No Comp),3,,,2554547.0,ns,306
no_attr_vs_comp,Efficient order (No Comp),3,,,3438108.0,ns,408
no_attr_vs_comp,Efficient order (No Comp),3,,,4572194.0,ns,510
no_attr_vs_comp,Efficient order (No Comp),3,,,5164121.0,ns,612
no_attr_vs_comp,Efficient order (No Comp),3,,,6114369.0,ns,714
no_attr_vs_comp,Efficient order (No Comp),3,,,7702400.0,ns,816
no_attr_vs_comp,Efficient order (No Comp),3,,,8164203.0,ns,918
no_attr_vs_comp,Efficient order (No Comp),3,,,9557885.0,ns,1020
no_attr_vs_comp,Efficient order (No Comp),3,,,9699412.0,ns,1122
no_attr_vs_comp,Efficient order (No Comp),3,,,10590422.0,ns,1224
no_attr_vs_comp,Efficient order (No Comp),3,,,11660841.0,ns,1326
no_attr_vs_comp,Efficient order (No Comp),3,,,12022173.0,ns,1428
no_attr_vs_comp,Efficient order (No Comp),3,,,12876179.0,ns,1530
no_attr_vs_comp,Efficient order (No Comp),3,,,14546118.0,ns,1632
no_attr_vs_comp,Efficient order (No Comp),3,,,14351218.0,ns,1734
no_attr_vs_comp,Efficient order (No Comp),3,,,15569187.0,ns,1836
no_attr_vs_comp,Efficient order (No Comp),3,,,16208063.0,ns,1938
no_attr_vs_comp,Efficient order (No Comp),3,,,17906510.0,ns,2040
no_attr_vs_comp,Efficient order (No Comp),3,,,18285845.0,ns,2142
no_attr_vs_comp,Efficient order (No Comp),3,,,19755121.0,ns,2244
no_attr_vs_comp,Efficient order (No Comp),3,,,22091023.0,ns,2346
no_attr_vs_comp,Efficient order (No Comp),3,,,21925200.0,ns,2448
no_attr_vs_comp,Efficient order (No Comp),3,,,21889556.0,ns,2550
no_attr_vs_comp,Efficient order (No Comp),3,,,22164613.0,ns,2652
no_attr_vs_comp,Efficient order (No Comp),3,,,23778172.0,ns,2754
no_attr_vs_comp,Efficient order (No Comp),3,,,25530904.0,ns,2856
no_attr_vs_comp,Efficient order (No Comp),3,,,25841929.0,ns,2958
no_attr_vs_comp,Efficient order (No Comp),3,,,25916358.0,ns,3060
no_attr_vs_comp,Efficient order (No Comp),3,,,26628640.0,ns,3162
no_attr_vs_comp,Efficient order (No Comp),3,,,27539109.0,ns,3264
