group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,Efficient order (No Comp),4,,,1027204.0,ns,37
no_attr_vs_comp,Efficient order (No Comp),4,,,1893399.0,ns,74
no_attr_vs_comp,Efficient order (No Comp),4,,,3071413.0,ns,111
no_attr_vs_comp,Efficient order (No Comp),4,,,3795558.0,ns,148
no_attr_vs_comp,Efficient order (No Comp),4,,,4955527.0,ns,185
no_attr_vs_comp,Efficient order (No Comp),4,,,5778847.0,ns,222
no_attr_vs_comp,Efficient order (No Comp),4,,,6820766.0,ns,259
no_attr_vs_comp,Efficient order (No Comp),4,,,8933863.0,ns,296
no_attr_vs_comp,Efficient order (No Comp),4,,,11036735.0,ns,333
no_attr_vs_comp,Efficient order (No Comp),4,,,10969649.0,ns,370
no_attr_vs_comp,Efficient order (No Comp),4,,,11582413.0,ns,407
no_attr_vs_comp,Efficient order (No Comp),4,,,12644127.0,ns,444
no_attr_vs_comp,Efficient order (No Comp),4,,,15152738.0,ns,481
no_attr_vs_comp,Efficient order (No Comp),4,,,16338946.0,ns,518
no_attr_vs_comp,Efficient order (No Comp),4,,,16709757.0,ns,555
no_attr_vs_comp,Efficient order (No Comp),4,,,19636583.0,ns,592
no_attr_vs_comp,Efficient order (No Comp),4,,,20348272.0,ns,629
no_attr_vs_comp,Efficient order (No Comp),4,,,21005787.0,ns,666
no_attr_vs_comp,Efficient order (No Comp),4,,,21976158.0,ns,703
no_attr_vs_comp,Efficient order (No Comp),4,,,21286128.0,ns,740
no_attr_vs_comp,Efficient order (No Comp),4,,,23434345.0,ns,777
no_attr_vs_comp,Efficient order (No Comp),4,,,24316861.0,ns,814
no_attr_vs_comp,Efficient order (No Comp),4,,,24704113.0,ns,851
no_attr_vs_comp,Efficient order (No Comp),4,,,26591979.0,ns,888
no_attr_vs_comp,Efficient order (No Comp),4,,,27548478.0,ns,925
no_attr_vs_comp,Efficient order (No Comp),4,,,28963437.0,ns,962
no_attr_vs_comp,Efficient order (No Comp),4,,,29408989.0,ns,999
no_attr_vs_comp,Efficient order (No Comp),4,,,30987526.0,ns,1036
no_attr_vs_comp,Efficient order (No Comp),4,,,30120887.0,ns,1073
no_attr_vs_comp,Efficient order (No Comp),4,,,31413130.0,ns,1110
no_attr_vs_comp,Efficient order (No Comp),4,,,30260469.0,ns,1147
no_attr_vs_comp,Efficient order (No Comp),4,,,31784451.0,ns,1184
no_attr_vs_comp,Efficient order (No Comp),4,,,34895787.0,ns,1221
no_attr_vs_comp,Efficient order (No Comp),4,,,32668744.0,ns,1258
no_attr_vs_comp,Efficient order (No Comp),4,,,32647026.0,ns,1295
no_attr_vs_comp,Efficient order (No Comp),4,,,33636676.0,ns,1332
no_attr_vs_comp,Efficient order (No Comp),4,,,34651516.0,ns,1369
no_attr_vs_comp,Efficient order (No Comp),4,,,35873374.0,ns,1406
no_attr_vs_comp,Efficient order (No Comp),4,,,36947420.0,ns,1443
