group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,No Attr (Degenerate order),12,,,1717272173.0,ns,1
no_attr_vs_comp,No Attr (Degenerate order),12,,,3058186266.0,ns,2
no_attr_vs_comp,No Attr (Degenerate order),12,,,4399325376.0,ns,3
no_attr_vs_comp,No Attr (Degenerate order),12,,,5697369531.0,ns,4
no_attr_vs_comp,No Attr (Degenerate order),12,,,7215725843.0,ns,5
no_attr_vs_comp,No Attr (Degenerate order),12,,,8606806483.0,ns,6
no_attr_vs_comp,No Attr (Degenerate order),12,,,9973100838.0,ns,7
no_attr_vs_comp,No Attr (Degenerate order),12,,,11761755502.0,ns,8
no_attr_vs_comp,No Attr (Degenerate order),12,,,13394066588.0,ns,9
no_attr_vs_comp,No Attr (Degenerate order),12,,,14123929706.0,ns,10
