group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,No Attr (Degenerate order),4,,,18100936.0,ns,483
no_attr_vs_comp,No Attr (Degenerate order),4,,,36136186.0,ns,966
no_attr_vs_comp,No Attr (Degenerate order),4,,,47689270.0,ns,1449
no_attr_vs_comp,No Attr (Degenerate order),4,,,60818564.0,ns,1932
no_attr_vs_comp,No Attr (Degenerate order),4,,,76380257.0,ns,2415
no_attr_vs_comp,No Attr (Degenerate order),4,,,92075576.0,ns,2898
no_attr_vs_comp,No Attr (Degenerate order),4,,,106002278.0,ns,3381
no_attr_vs_comp,No Attr (Degenerate order),4,,,126807055.0,ns,3864
no_attr_vs_comp,No Attr (Degenerate order),4,,,140600576.0,ns,4347
no_attr_vs_comp,No Attr (Degenerate order),4,,,154384467.0,ns,4830
