group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
no_attr_vs_comp,No Attr (Ideal order),2,,,1344810.0,ns,260
no_attr_vs_comp,No Attr (Ideal order),2,,,2480174.0,ns,520
no_attr_vs_comp,No Attr (Ideal order),2,,,2785311.0,ns,780
no_attr_vs_comp,No Attr (Ideal order),2,,,4826504.0,ns,1040
no_attr_vs_comp,No Attr (Ideal order),2,,,4831630.0,ns,1300
no_attr_vs_comp,No Attr (Ideal order),2,,,5855662.0,ns,1560
no_attr_vs_comp,No Attr (Ideal order),2,,,6786593.0,ns,1820
no_attr_vs_comp,No Attr (Ideal order),2,,,7893648.0,ns,2080
no_attr_vs_comp,No Attr (Ideal order),2,,,8484023.0,ns,2340
no_attr_vs_comp,No Attr (Ideal order),2,,,9356264.0,ns,2600
no_attr_vs_comp,No Attr (Ideal order),2,,,10765185.0,ns,2860
no_attr_vs_comp,No Attr (Ideal order),2,,,11313993.0,ns,3120
no_attr_vs_comp,No Attr (Ideal order),2,,,12166064.0,ns,3380
no_attr_vs_comp,No Attr (Ideal order),2,,,13276161.0,ns,3640
no_attr_vs_comp,No Attr (Ideal order),2,,,14287441.0,ns,3900
no_attr_vs_comp,No Attr (Ideal order),2,,,15164846.0,ns,4160
no_attr_vs_comp,No Attr (Ideal order),2,,,16154660.0,ns,4420
no_attr_vs_comp,No Attr (Ideal order),2,,,17058940.0,ns,4680
no_attr_vs_comp,No Attr (Ideal order),2,,,17454169.0,ns,4940
no_attr_vs_comp,No Attr (Ideal order),2,,,18361212.0,ns,5200
no_attr_vs_comp,No Attr (Ideal order),2,,,19270732.0,ns,5460
no_attr_vs_comp,No Attr (Ideal order),2,,,20252514.0,ns,5720
no_attr_vs_comp,No Attr (Ideal order),2,,,20614281.0,ns,5980
no_attr_vs_comp,No Attr (Ideal order),2,,,22158404.0,ns,6240
no_attr_vs_comp,No Attr (Ideal order),2,,,22561955.0,ns,6500
no_attr_vs_comp,No Attr (Ideal order),2,,,23676949.0,ns,6760
no_attr_vs_comp,No Attr (Ideal order),2,,,24288234.0,ns,7020
no_attr_vs_comp,No Attr (Ideal order),2,,,26343676.0,ns,7280
no_attr_vs_comp,No Attr (Ideal order),2,,,27571739.0,ns,7540
no_attr_vs_comp,No Attr (Ideal order),2,,,28891589.0,ns,7800
no_attr_vs_comp,No Attr (Ideal order),2,,,29508589.0,ns,8060
no_attr_vs_comp,No Attr (Ideal order),2,,,30700650.0,ns,8320
no_attr_vs_comp,No Attr (Ideal order),2,,,32633902.0,ns,8580
no_attr_vs_comp,No Attr (Ideal order),2,,,32958890.0,ns,8840
no_attr_vs_comp,No Attr (Ideal order),2,,,34087225.0,ns,9100
no_attr_vs_comp,No Attr (Ideal order),2,,,34839705.0,ns,9360
no_attr_vs_comp,No Attr (Ideal order),2,,,35143129.0,ns,9620
no_attr_vs_comp,No Attr (Ideal order),2,,,35864218.0,ns,9880
no_attr_vs_comp,No Attr (Ideal order),2,,,36881461.0,ns,10140
no_attr_vs_comp,No Attr (Ideal order),2,,,36530013.0,ns,10400
no_attr_vs_comp,No Attr (Ideal order),2,,,37443328.0,ns,10660
no_attr_vs_comp,No Attr (Ideal order),2,,,37498274.0,ns,10920
no_attr_vs_comp,No Attr (Ideal order),2,,,39077262.0,ns,11180
no_attr_vs_comp,No Attr (Ideal order),2,,,39610752.0,ns,11440
no_attr_vs_comp,No Attr (Ideal order),2,,,39608359.0,ns,11700
no_attr_vs_comp,No Attr (Ideal order),2,,,41007696.0,ns,11960
no_attr_vs_comp,No Attr (Ideal order),2,,,42216268.0,ns,12220
no_attr_vs_comp,No Attr (Ideal order),2,,,41139319.0,ns,12480
no_attr_vs_comp,No Attr (Ideal order),2,,,45199411.0,ns,12740
no_attr_vs_comp,No Attr (Ideal order),2,,,47173242.0,ns,13000
no_attr_vs_comp,No Attr (Ideal order),2,,,48157103.0,ns,13260
no_attr_vs_comp,No Attr (Ideal order),2,,,49792389.0,ns,13520
no_attr_vs_comp,No Attr (Ideal order),2,,,50422231.0,ns,13780
no_attr_vs_comp,No Attr (Ideal order),2,,,51709471.0,ns,14040
no_attr_vs_comp,No Attr (Ideal order),2,,,52013420.0,ns,14300
no_attr_vs_comp,No Attr (Ideal order),2,,,53264846.0,ns,14560
no_attr_vs_comp,No Attr (Ideal order),2,,,54096065.0,ns,14820
no_attr_vs_comp,No Attr (Ideal order),2,,,54428018.0,ns,15080
no_attr_vs_comp,No Attr (Ideal order),2,,,55145609.0,ns,15340
no_attr_vs_comp,No Attr (Ideal order),2,,,54898979.0,ns,15600
no_attr_vs_comp,No Attr (Ideal order),2,,,58079557.0,ns,15860
no_attr_vs_comp,No Attr (Ideal order),2,,,58550007.0,ns,16120
no_attr_vs_comp,No Attr (Ideal order),2,,,59114936.0,ns,16380
no_attr_vs_comp,No Attr (Ideal order),2,,,60299550.0,ns,16640
no_attr_vs_comp,No Attr (Ideal order),2,,,67076732.0,ns,16900
no_attr_vs_comp,No Attr (Ideal order),2,,,74987770.0,ns,17160
no_attr_vs_comp,No Attr (Ideal order),2,,,74760981.0,ns,17420
no_attr_vs_comp,No Attr (Ideal order),2,,,76403876.0,ns,17680
no_attr_vs_comp,No Attr (Ideal order),2,,,77086023.0,ns,17940
no_attr_vs_comp,No Attr (Ideal order),2,,,76115880.0,ns,18200
no_attr_vs_comp,No Attr (Ideal order),2,,,77193392.0,ns,18460
no_attr_vs_comp,No Attr (Ideal order),2,,,97217664.0,ns,18720
no_attr_vs_comp,No Attr (Ideal order),2,,,82188736.0,ns,18980
no_attr_vs_comp,No Attr (Ideal order),2,,,90348631.0,ns,19240
no_attr_vs_comp,No Attr (Ideal order),2,,,87302309.0,ns,19500
no_attr_vs_comp,No Attr (Ideal order),2,,,73968357.0,ns,19760
no_attr_vs_comp,No Attr (Ideal order),2,,,76026875.0,ns,20020
no_attr_vs_comp,No Attr (Ideal order),2,,,85128665.0,ns,20280
no_attr_vs_comp,No Attr (Ideal order),2,,,81334217.0,ns,20540
no_attr_vs_comp,No Attr (Ideal order),2,,,93518197.0,ns,20800
no_attr_vs_comp,No Attr (Ideal order),2,,,81329882.0,ns,21060
no_attr_vs_comp,No Attr (Ideal order),2,,,77185091.0,ns,21320
no_attr_vs_comp,No Attr (Ideal order),2,,,78327546.0,ns,21580
no_attr_vs_comp,No Attr (Ideal order),2,,,80289529.0,ns,21840
no_attr_vs_comp,No Attr (Ideal order),2,,,82355275.0,ns,22100
no_attr_vs_comp,No Attr (Ideal order),2,,,85750478.0,ns,22360
no_attr_vs_comp,No Attr (Ideal order),2,,,85103063.0,ns,22620
no_attr_vs_comp,No Attr (Ideal order),2,,,83028271.0,ns,22880
no_attr_vs_comp,No Attr (Ideal order),2,,,83659685.0,ns,23140
no_attr_vs_comp,No Attr (Ideal order),2,,,85555043.0,ns,23400
no_attr_vs_comp,No Attr (Ideal order),2,,,85367127.0,ns,23660
no_attr_vs_comp,No Attr (Ideal order),2,,,88330453.0,ns,23920
no_attr_vs_comp,No Attr (Ideal order),2,,,91834773.0,ns,24180
no_attr_vs_comp,No Attr (Ideal order),2,,,89609310.0,ns,24440
no_attr_vs_comp,No Attr (Ideal order),2,,,91391329.0,ns,24700
no_attr_vs_comp,No Attr (Ideal order),2,,,96467068.0,ns,24960
no_attr_vs_comp,No Attr (Ideal order),2,,,91018579.0,ns,25220
no_attr_vs_comp,No Attr (Ideal order),2,,,92870004.0,ns,25480
no_attr_vs_comp,No Attr (Ideal order),2,,,93224821.0,ns,25740
no_attr_vs_comp,No Attr (Ideal order),2,,,92106666.0,ns,26000
